Iteration;Reward;Time;Beta;;;;;
0;-3101411;0,02;0,99;;;;;
50;-9,2987318;0,3;0,99;;;;;
100;-9,20093632;0,57;0,99;;;;;
150;-9,12176514;0,84;0,99;;;;;
200;-9,030303;1,11;0,99;;;;;
250;-8,98386955;1,39;0,99;;;;;
300;-8,93364906;1,66;0,99;;;;;
350;-8,90448856;1,93;0,99;;;;;
400;-8,8823061;2,2;0,99;;;;;
450;-8,86625767;2,47;0,99;;;;;
500;-8,84211445;2,74;0,99;;;;;
550;-8,81548405;3,01;0,99;;;;;
600;-8,79571819;3,28;0,99;;;;;
650;-10,27279186;3,54;0,99;;;;;
700;-8,55094337;3,81;0,99;;;;;
750;-8,1650238;4,08;0,99;;;;;
800;-6,68802166;4,35;0,99;;;;;
850;-5,80391884;4,62;0,99;;;;;
900;-5,79733229;4,89;0,99;;;;;
950;-6,18831873;5,15;0,99;;;;;
1000;-5,71990728;5,42;0,99;;;;;
1050;-6,37176466;5,68;0,99;;;;;
1100;-5,72388124;5,93;0,99;;;;;
1150;-5,76344538;6,19;0,99;;;;;
1200;-5,71559858;6,46;0,99;;;;;
1250;-5,66461611;6,72;0,99;;;;;
1300;-5,68963528;6,98;0,99;;;;;
1350;-5,68673706;7,24;0,99;;;;;
1400;-5,69871235;7,49;0,99;;;;;
1450;-5,67387152;7,74;0,99;;;;;
1500;-5,76475096;8;0,99;;;;;
1550;-5,67178869;8,26;0,99;;;;;
1600;-6,02433109;8,51;0,99;;;;;
1650;-5,6319232;8,78;0,99;;;;;
1700;-5,72484541;9,03;0,99;;;;;
1750;-5,63621759;9,28;0,99;;;;;
1800;-5,64012718;9,54;0,99;;;;;
1850;-5,60088444;9,81;0,99;;;;;
1900;-5,60047626;10,07;0,99;;;;;
1950;-5,60293245;10,33;0,99;;;;;
2000;-5,59739685;10,6;0,99;;;;;
2050;-5,59668827;10,87;0,99;;;;;
2100;-5,59206867;11,13;0,99;;;;;
2150;-5,66524029;11,39;0,99;;;;;
2200;-5,6006937;11,65;0,99;;;;;
2250;-5,58736038;11,92;0,99;;;;;
2300;-5,61775446;12,17;0,99;;;;;
2350;-5,58092737;12,44;0,99;;;;;
2400;-5,59935665;12,69;0,99;;;;;
2450;-5,60367393;12,95;0,99;;;;;
2500;-5,6032114;13,2;0,99;;;;;
2550;-5,57829046;13,47;0,99;;;;;
2600;-5,59645319;13,73;0,99;;;;;
2650;-5,56243324;13,99;0,99;;;;;
2700;-5,56666756;14,25;0,99;;;;;
2750;-5,57780409;14,5;0,99;;;;;
2800;-5,56206036;14,77;0,99;;;;;
2850;-5,60090542;15,03;0,99;;;;;
2900;-5,60678101;15,29;0,99;;;;;
2950;-5,59362841;15,54;0,99;;;;;
3000;-5,55962133;15,81;0,99;;;;;
3050;-5,68107796;16,07;0,99;;;;;
3100;-5,66761875;16,32;0,99;;;;;
3150;-5,55600691;16,59;0,99;;;;;
3200;-5,55438852;16,86;0,99;;;;;
3250;-5,5565834;17,11;0,99;;;;;
3300;-5,56637287;17,37;0,99;;;;;
3350;-5,56200838;17,62;0,99;;;;;
3400;-5,55817604;17,88;0,99;;;;;
3450;-5,57362938;18,14;0,99;;;;;
3500;-5,73998547;18,39;0,99;;;;;
3550;-5,63570118;18,65;0,99;;;;;
3600;-5,59612417;18,9;0,99;;;;;
3650;-5,56891346;19,16;0,99;;;;;
3700;-5,559762;19,41;0,99;;;;;
3750;-5,57690334;19,67;0,99;;;;;
3800;-5,5613513;19,93;0,99;;;;;
3850;-5,55361557;20,2;0,99;;;;;
3900;-5,55898285;20,45;0,99;;;;;
3950;-5,60469913;20,71;0,99;;;;;
4000;-5,65107775;20,97;0,99;;;;;
4050;-5,60711861;21,23;0,99;;;;;
4100;-5,58478737;21,49;0,99;;;;;
4150;-5,5607214;21,74;0,99;;;;;
4200;-5,54780197;22,01;0,99;;;;;
4250;-5,59010601;22,27;0,99;;;;;
4300;-5,54240322;22,54;0,99;;;;;
4350;-5,60362005;22,79;0,99;;;;;
4400;-5,54535675;23,05;0,99;;;;;
4450;-5,56715012;23,31;0,99;;;;;
4500;-5,53857136;23,58;0,99;;;;;
4550;-5,59310722;23,84;0,99;;;;;
4600;-5,61863041;24,09;0,99;;;;;
4650;-5,54247808;24,35;0,99;;;;;
4700;-5,5591588;24,61;0,99;;;;;
4750;-5,5384841;24,88;0,99;;;;;
4800;-5,5582428;25,14;0,99;;;;;
4850;-5,61597395;25,4;0,99;;;;;
4900;-5,5744276;25,65;0,99;;;;;
4950;-5,60794544;25,91;0,99;;;;;
5000;-5,55429792;26,17;0,99;;;;;
5050;-5,54162312;26,42;0,99;;;;;
5100;-5,54264259;26,68;0,99;;;;;
5150;-5,55410004;26,94;0,99;;;;;
5200;-5,54206371;27,2;0,99;;;;;
5250;-5,55328226;27,45;0,99;;;;;
5300;-5,56860638;27,71;0,99;;;;;
5350;-5,55208254;27,96;0,99;;;;;
5400;-5,55966902;28,22;0,99;;;;;
5450;-5,53764725;28,49;0,99;;;;;
5500;-5,57737923;28,74;0,99;;;;;
5550;-5,56856203;29;0,99;;;;;
5600;-5,59452486;29,26;0,99;;;;;
5650;-5,54797029;29,51;0,99;;;;;
5700;-5,55531979;29,77;0,99;;;;;
5750;-5,54379272;30,03;0,99;;;;;
5800;-5,54779482;30,28;0,99;;;;;
5850;-5,55093956;30,54;0,99;;;;;
5900;-5,53062153;30,81;0,99;;;;;
5950;-5,54039574;31,07;0,99;;;;;
6000;-5,57722473;31,32;0,99;;;;;
6050;-5,76446056;31,58;0,99;;;;;
6100;-5,54611874;31,84;0,99;;;;;
6150;-5,53547812;32,1;0,99;;;;;
6200;-5,53582811;32,36;0,99;;;;;
6250;-5,53317976;32,61;0,99;;;;;
6300;-5,53739166;32,87;0,99;;;;;
6350;-5,54192543;33,12;0,99;;;;;
6400;-5,55480957;33,38;0,99;;;;;
6450;-5,53625727;33,64;0,99;;;;;
6500;-5,59730482;33,9;0,99;;;;;
6550;-5,53762102;34,15;0,99;;;;;
6600;-5,54526663;34,41;0,99;;;;;
6650;-5,53803778;34,67;0,99;;;;;
6700;-5,54141045;34,92;0,99;;;;;
6750;-5,59601784;35,18;0,99;;;;;
6800;-5,53691053;35,43;0,99;;;;;
6850;-5,55187654;35,69;0,99;;;;;
6900;-5,5374074;35,95;0,99;;;;;
6950;-5,5326376;36,2;0,99;;;;;
7000;-5,53538179;36,46;0,99;;;;;
7050;-5,55120802;36,71;0,99;;;;;
7100;-5,54117537;36,97;0,99;;;;;
7150;-5,54533863;37,23;0,99;;;;;
7200;-5,53437614;37,48;0,99;;;;;
7250;-5,57016563;37,74;0,99;;;;;
7300;-5,53412485;37,99;0,99;;;;;
7350;-5,54041767;38,25;0,99;;;;;
7400;-5,52840996;38,52;0,99;;;;;
7450;-5,61099911;38,78;0,99;;;;;
7500;-5,53259802;39,04;0,99;;;;;
7550;-5,5294137;39,29;0,99;;;;;
7600;-5,60853243;39,55;0,99;;;;;
7650;-5,56265211;39,81;0,99;;;;;
7700;-5,53485203;40,07;0,99;;;;;
7750;-5,5355587;40,33;0,99;;;;;
7800;-5,53144073;40,58;0,99;;;;;
7850;-5,53644276;40,84;0,99;;;;;
7900;-5,57850742;41,1;0,99;;;;;
7950;-5,53751898;41,35;0,99;;;;;
8000;-5,54019547;41,61;0,99;;;;;
8050;-5,5415082;41,87;0,99;;;;;
8100;-5,53151321;42,13;0,99;;;;;
8150;-5,55837107;42,39;0,99;;;;;
8200;-5,54237938;42,64;0,99;;;;;
8250;-5,5372777;42,9;0,99;;;;;
8300;-5,54006577;43,16;0,99;;;;;
8350;-5,53146315;43,43;0,99;;;;;
8400;-5,58299398;43,68;0,99;;;;;
8450;-5,5496273;43,94;0,99;;;;;
8500;-5,55152607;44,2;0,99;;;;;
8550;-5,56476974;44,45;0,99;;;;;
8600;-5,55113983;44,71;0,99;;;;;
8650;-5,54498005;44,97;0,99;;;;;
8700;-5,54842472;45,23;0,99;;;;;
8750;-5,55115747;45,49;0,99;;;;;
8800;-5,6055212;45,75;0,99;;;;;
8850;-5,54264736;46,01;0,99;;;;;
8900;-5,61825848;46,28;0,99;;;;;
8950;-5,58688259;46,54;0,99;;;;;
9000;-5,56550312;46,79;0,99;;;;;
9050;-5,52746868;47,07;0,99;;;;;
9100;-5,55089712;47,32;0,99;;;;;
9150;-5,54922771;47,58;0,99;;;;;
9200;-5,5399971;47,84;0,99;;;;;
9250;-5,52618122;48,1;0,99;;;;;
9300;-5,54123735;48,36;0,99;;;;;
9350;-5,5495882;48,62;0,99;;;;;
9400;-5,52881241;48,88;0,99;;;;;
9450;-5,55349112;49,14;0,99;;;;;
9500;-5,60474777;49,4;0,99;;;;;
9550;-5,53444481;49,66;0,99;;;;;
9600;-5,56012344;49,93;0,99;;;;;
9650;-5,55045366;50,19;0,99;;;;;
9700;-5,53813696;50,45;0,99;;;;;
9750;-5,53615046;50,71;0,99;;;;;
9800;-5,54119778;50,97;0,99;;;;;
9850;-5,55253839;51,23;0,99;;;;;
9900;-5,53782177;51,49;0,99;;;;;
9950;-5,62154913;51,75;0,99;;;;;
10000;-5,54926062;52,01;0,99;;;;;
10050;-5,56537914;52,27;0,99;;;;;
10100;-5,56741667;52,53;0,99;;;;;
10150;-5,54608011;52,79;0,99;;;;;
10200;-17,69653511;53,05;0,99;;;;;
10250;-5,56586123;53,3;0,99;;;;;
10300;-5,57631874;53,56;0,99;;;;;
10350;-5,53645325;53,82;0,99;;;;;
10400;-5,53177595;54,08;0,99;;;;;
10450;-5,56324053;54,33;0,99;;;;;
10500;-5,53322697;54,59;0,99;;;;;
10550;-5,52771473;54,85;0,99;;;;;
10600;-21,75502014;55,11;0,99;;;;;
10650;-5,58679295;55,37;0,99;;;;;
10700;-5,55617523;55,63;0,99;;;;;
10750;-5,5369339;55,89;0,99;;;;;
10800;-5,54596233;56,15;0,99;;;;;
10850;-5,55287409;56,41;0,99;;;;;
10900;-5,53564167;56,66;0,99;;;;;
10950;-5,54702663;56,92;0,99;;;;;
11000;-5,52836657;57,18;0,99;;;;;
11050;-5,53795671;57,44;0,99;;;;;-5,52618122
11100;-5,54938555;57,69;0,99;;;;;
11150;-42,8085556;57,95;0,99;;;;;
11200;-5,59016132;58,21;0,99;;;;;
11250;-5,53941965;58,47;0,99;;;;;
11300;-5,57143974;58,73;0,99;;;;;
11350;-5,55162954;58,99;0,99;;;;;
11400;-5,55302382;59,25;0,99;;;;;
11450;-5,53762293;59,51;0,99;;;;;
11500;-5,53762293;59,76;0,99;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
0;-345135,0625;0,02;0,95;;-2,39050794;;;
50;-3,60040045;0,3;0,95;;;;;
100;-3,46658587;0,57;0,95;;;;;
150;-3,39559174;0,84;0,95;;;;;
200;-3,3562541;1,11;0,95;;;;;
250;-3,33010769;1,38;0,95;;;;;
300;-3,29140425;1,66;0,95;;;;;
350;-3,30615067;1,91;0,95;;;;;
400;-3,24483013;2,19;0,95;;;;;
450;-3,28799796;2,44;0,95;;;;;
500;-3,20783114;2,71;0,95;;;;;
550;-68,10906982;2,98;0,95;;;;;
600;-3,18238282;3,24;0,95;;;;;
650;-3,17361832;3,51;0,95;;;;;
700;-3,1560061;3,79;0,95;;;;;
